"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 14:33:18 COT 2022","Sat Sep 24 14:33:18 COT 2022","17","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","And The user is on auction page","And The user is on auction page",""
"passed","Mon Sep 26 10:43:22 COT 2022","Mon Sep 26 10:43:22 COT 2022","45","","Payment: The user creates a new payment method","","Payment: The user creates a new payment method","Then the page will show a form for create a payment method","Then the page will show a form for create a payment method",""
"passed","Sun Sep 25 11:20:38 COT 2022","Sun Sep 25 11:20:39 COT 2022","134","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","When The user login with username and password from admin","When The user login with username and password from admin",""
"passed","Sun Sep 25 12:36:34 COT 2022","Sun Sep 25 12:36:35 COT 2022","750","","Admin actions and permissions: The admin create a new category","","Admin actions and permissions: The admin create a new category","When The user login with username and password from admin","When The user login with username and password from admin",""
"passed","Sat Sep 24 13:20:53 COT 2022","Sat Sep 24 13:20:55 COT 2022","2724","","Create a product and see on the list: Create an empty product","","Create a product and see on the list: Create an empty product","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Tue Sep 27 11:59:24 COT 2022","Tue Sep 27 11:59:25 COT 2022","635","","Create a product and see on the list: The user create a new product","","Create a product and see on the list: The user create a new product","Then the page will show the product in a new page","Then the page will show the product in a new page","verifiying if Lista de productos subastados is Lista de productos subastados"
"passed","Sat Sep 24 16:57:53 COT 2022","Sat Sep 24 16:57:53 COT 2022","35","","Payment: The page show an error if the user dont have payment saved","","Payment: The page show an error if the user dont have payment saved","When the user close the pop-up with the error","When the user close the pop-up with the error",""
"passed","Sun Sep 25 09:37:15 COT 2022","Sun Sep 25 09:37:18 COT 2022","2965","","Login flow into BetLeague: The user can logged if have an admin user","","Login flow into BetLeague: The user can logged if have an admin user","Given The user is on the login page","Given The user is on the login page",""
"passed","Tue Sep 27 11:59:07 COT 2022","Tue Sep 27 11:59:08 COT 2022","1079","","Create a product and see on the list: The user create a new product","","Create a product and see on the list: The user create a new product","When the user open the dashboard","When the user open the dashboard",""
"passed","Sat Sep 24 13:21:21 COT 2022","Sat Sep 24 13:21:21 COT 2022","13","","Elements on User Profile: The elements are displayed","","Elements on User Profile: The elements are displayed","Then The user should see the navbar with the options","Then The user should see the navbar with the options",""
"passed","Sun Sep 25 11:20:35 COT 2022","Sun Sep 25 11:20:35 COT 2022","17","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","Then The user should see a modal with the username","Then The user should see a modal with the username",""
"passed","Sun Sep 25 13:35:54 COT 2022","Sun Sep 25 13:35:55 COT 2022","1117","","Admin actions and permissions: Create a empty categroy","","Admin actions and permissions: Create a empty categroy","When the admin opens the dashboard on create category option","When the admin opens the dashboard on create category option",""
"passed","Sun Sep 25 14:11:05 COT 2022","Sun Sep 25 14:11:09 COT 2022","4082","","Elements on the list of products and their functions: Other categories are displayed","","Elements on the list of products and their functions: Other categories are displayed","When The user clikcs on other categories","When The user clikcs on other categories",""
"passed","Mon Sep 26 10:43:22 COT 2022","Mon Sep 26 10:43:27 COT 2022","5611","","Payment: The user creates a new payment method","","Payment: The user creates a new payment method","When the user fills the entire form","When the user fills the entire form",""
"passed","Sat Sep 24 16:57:53 COT 2022","Sat Sep 24 16:57:53 COT 2022","22","","Payment: The page show an error if the user dont have payment saved","","Payment: The page show an error if the user dont have payment saved","Then the page will show an empty table","Then the page will show an empty table","verifiying if Mostrando 0 resultados is Mostrando 0 resultados"
"passed","Sun Sep 25 13:35:49 COT 2022","Sun Sep 25 13:35:54 COT 2022","4291","","Admin actions and permissions: Create a empty categroy","","Admin actions and permissions: Create a empty categroy","Given The user is on the login page","Given The user is on the login page",""
"passed","Sun Sep 25 11:20:34 COT 2022","Sun Sep 25 11:20:35 COT 2022","1052","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","And confirms the register","And confirms the register",""
"passed","Sun Sep 25 14:11:09 COT 2022","Sun Sep 25 14:11:09 COT 2022","16","","Elements on the list of products and their functions: Other categories are displayed","","Elements on the list of products and their functions: Other categories are displayed","Then The page will show a pop-up","Then The page will show a pop-up",""
"passed","Sun Sep 25 12:36:39 COT 2022","Sun Sep 25 12:36:39 COT 2022","75","","Admin actions and permissions: The admin create a new category","","Admin actions and permissions: The admin create a new category","When the user types the category and create","When the user types the category and create",""
"passed","Sat Sep 24 16:30:52 COT 2022","Sat Sep 24 16:30:57 COT 2022","5059","","Elements on the list of products and their functions: View Detail of product","","Elements on the list of products and their functions: View Detail of product","When the user clicks on back to list","When the user clicks on back to list",""
"passed","Sat Sep 24 13:21:00 COT 2022","Sat Sep 24 13:21:00 COT 2022","629","","Create a product and see on the list: Create an empty product","","Create a product and see on the list: Create an empty product","Then the page will show an error message of empty product","Then the page will show an error message of empty product","verifiying if El nombre del producto no puede estar vacio. is El nombre del producto no puede estar vacio."
"passed","Sun Sep 25 11:20:39 COT 2022","Sun Sep 25 11:20:42 COT 2022","3061","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","Then The page will show a table with all the users in the system","Then The page will show a table with all the users in the system",""
"passed","Sun Sep 25 14:11:09 COT 2022","Sun Sep 25 14:11:09 COT 2022","1","","Elements on the list of products and their functions: Other categories are displayed","","Elements on the list of products and their functions: Other categories are displayed","","",""
"passed","Tue Sep 27 11:59:25 COT 2022","Tue Sep 27 11:59:25 COT 2022","0","","Create a product and see on the list: The user create a new product","","Create a product and see on the list: The user create a new product","","",""
"passed","Sun Sep 25 09:37:19 COT 2022","Sun Sep 25 09:37:19 COT 2022","12","","Login flow into BetLeague: The user can logged if have an admin user","","Login flow into BetLeague: The user can logged if have an admin user","When the admin opens the dashboard","When the admin opens the dashboard",""
"passed","Sun Sep 25 13:35:58 COT 2022","Sun Sep 25 13:35:58 COT 2022","72","","Admin actions and permissions: Create a empty categroy","","Admin actions and permissions: Create a empty categroy","When the user types an empty  category and create","When the user types an empty  category and create",""
"passed","Sat Sep 24 14:33:23 COT 2022","Sat Sep 24 14:33:23 COT 2022","120","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","And the dropdown filter has the next options","And the dropdown filter has the next options","verifiying if Filtrar de menor a mayor precio is Filtrar de menor a mayor precio"
"passed","Sat Sep 24 13:21:18 COT 2022","Sat Sep 24 13:21:21 COT 2022","2741","","Elements on User Profile: The elements are displayed","","Elements on User Profile: The elements are displayed","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Sun Sep 25 13:35:56 COT 2022","Sun Sep 25 13:35:56 COT 2022","1","","Elements on the list of products and their functions: The categories are presente on the page","","Elements on the list of products and their functions: The categories are presente on the page","","",""
"passed","Sat Sep 24 14:33:18 COT 2022","Sat Sep 24 14:33:23 COT 2022","5021","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","Then the products are shown in a list","Then the products are shown in a list","verifiying if 5 is greater than 0"
"passed","Sun Sep 25 11:20:55 COT 2022","Sun Sep 25 11:20:56 COT 2022","1198","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","And The user login with delete username and password","And The user login with delete username and password",""
"passed","Mon Sep 26 10:43:27 COT 2022","Mon Sep 26 10:43:27 COT 2022","0","","Payment: The user creates a new payment method","","Payment: The user creates a new payment method","","",""
"passed","Sun Sep 25 11:20:56 COT 2022","Sun Sep 25 11:20:56 COT 2022","0","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","","",""
"passed","Sun Sep 25 11:20:55 COT 2022","Sun Sep 25 11:20:55 COT 2022","20","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","And The user logout from the page","And The user logout from the page",""
"passed","Sun Sep 25 11:20:35 COT 2022","Sun Sep 25 11:20:35 COT 2022","23","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","When The user logout from the page","When The user logout from the page",""
"passed","Tue Sep 27 10:13:20 COT 2022","Tue Sep 27 10:13:20 COT 2022","781","","Login flow into BetLeague: The user can logged if have a existing account","","Login flow into BetLeague: The user can logged if have a existing account","When The user login with username and password","When The user login with username and password",""
"passed","Sun Sep 25 11:20:30 COT 2022","Sun Sep 25 11:20:33 COT 2022","2563","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","Given The user is on the login page","Given The user is on the login page",""
"passed","Sun Sep 25 12:36:39 COT 2022","Sun Sep 25 12:36:39 COT 2022","1","","Admin actions and permissions: The admin create a new category","","Admin actions and permissions: The admin create a new category","And the category is on the table","And the category is on the table",""
"passed","Tue Sep 27 10:13:18 COT 2022","Tue Sep 27 10:13:20 COT 2022","1896","","Login flow into BetLeague: The user can logged if have a existing account","","Login flow into BetLeague: The user can logged if have a existing account","Given The user is on the login page","Given The user is on the login page",""
"passed","Sun Sep 25 13:35:54 COT 2022","Sun Sep 25 13:35:54 COT 2022","386","","Admin actions and permissions: Create a empty categroy","","Admin actions and permissions: Create a empty categroy","When The user login with username and password from admin","When The user login with username and password from admin",""
"passed","Sat Sep 24 13:21:38 COT 2022","Sat Sep 24 13:21:41 COT 2022","2853","","Elements on User Profile: The user modifies his personal data on the page","","Elements on User Profile: The user modifies his personal data on the page","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Mon Sep 26 10:43:22 COT 2022","Mon Sep 26 10:43:22 COT 2022","13","","Payment: The user creates a new payment method","","Payment: The user creates a new payment method","When the user clicks on plus icon","When the user clicks on plus icon",""
"passed","Sat Sep 24 13:21:41 COT 2022","Sat Sep 24 13:21:41 COT 2022","581","","Elements on User Profile: The user modifies his personal data on the page","","Elements on User Profile: The user modifies his personal data on the page","When the user open the dashboard on modify data","When the user open the dashboard on modify data",""
